Institution Short Name/Consortium,Institution Full Name,Address Line 1,Address Line 2,Country,City,Postal Code,Link,Department,IR,Consortium members,Region,Show members
CPPM,Centre de Physique des Particules de Marseille,"163, avenue de Luminy - Case 902",-,France,Marseille cedex 09 ,13288,www.cppm.in2p3.fr,Particle physics,Justine   Serrano,-,Europe,CPPM
Kyiv,Taras Shevchenko National Univ. of Kyiv,-,-,Ukraine,Kyiv,1601,http://www.knu.ua/en/departments/physics/,"Department of Nuclear Physics, Taras Shevchenko National University of Kyiv",Igor Mykolayovuch  Kadenko,-,Europe,Kyiv
Hanyang,Hanyang Univ.,Haengdang Dong,Seongdong Gu,South Korea,Seoul,133 791,http://www.hanyang.ac.kr/web/eng/e302,Department of Physics,ByungGu   Cheon,-,Asia,Hanyang
S-Alabama,Univ. of South Alabama,-,-,U.S.A.,Mobile,AL 36688,http://www.southalabama.edu,Dept. of Physics,Romulus   Godang,-,America,S-Alabama
S-Carolina,Univ. of South Carolina,712 Main Street,-,U.S.A.,Columbia,SC 29208,https://sc.edu/study/colleges_schools/artsandsciences/physics_and_astronomy/index.php,Dept. of Physics and Astronomy,Carl   Rosenfeld,-,America,S-Carolina
MPP,Max Planck Institut fur Physik Muenchen,Foehringer Ring 6,-,Germany,Muenchen,80805,http://www.mpp.mpg.de/english/,-,Hans-Günther   Moser,-,Europe,MPP
MEPhI,National Research Nuclear Univ.(MEPhI),31 Kashirskaya Shosse,-,Russia,Moscow,115409,https://eng.mephi.ru/,-,David Zeke  Besson,-,Russia,MEPhI
U-Tokyo,U-Tokyo, 7-3-1 Hongo Bunkyo-ku,-,Japan,Tokyo,113-0033,http://www.u-tokyo.ac.jp/index_e.html,Department of Physics,Hiroaki   Aihara,-,Japan,U-Tokyo
IIT-Hyderabad,Indian Institute of Technology Hyderabad,-,-,India,Hyderabad,502285,https://www.iith.ac.in/,Physics Department,Anjan   Giri,-,Asia,IIT-Hyderabad
IISER,Indian Institute of Science Education and Research(IISER)Mohali,"Knowledge city, Sector 81, SAS Nagar, Manauli",-,India,Punjab,140306,http://www.iisermohali.ac.in/,-,Vishal   Bhardwaj,-,Asia,IISER
